Matrix1,Matrix2,cuBlas (µs),cuSparse (µs),gpuDense (µs),gpuSparse (µs),Blas (µs),cpuSparseParallel (µs),cpuDenseParallel (µs)
s-vs-d_0.07_B0.mtx,s-vs-d_0.07_A0.mtx,29002,281237,340282366920938463463374607431768211455,1,80566,89610,340282366920938463463374607431768211455
s-vs-d_0.07_B0.mtx,s-vs-d_0.07_A1.mtx,29016,280707,340282366920938463463374607431768211455,1,70033,88591,340282366920938463463374607431768211455
s-vs-d_0.07_B0.mtx,s-vs-d_0.07_B1.mtx,28496,270526,340282366920938463463374607431768211455,1,76552,89493,340282366920938463463374607431768211455
s-vs-d_0.07_B1.mtx,s-vs-d_0.07_A0.mtx,29623,263945,340282366920938463463374607431768211455,1,89771,85350,340282366920938463463374607431768211455
s-vs-d_0.07_B1.mtx,s-vs-d_0.07_A1.mtx,28213,261146,340282366920938463463374607431768211455,1,70464,83677,340282366920938463463374607431768211455
s-vs-d_0.07_B1.mtx,s-vs-d_0.07_B0.mtx,28883,248256,340282366920938463463374607431768211455,1,104887,97702,340282366920938463463374607431768211455
s-vs-d_0.085_A0.mtx,s-vs-d_0.085_A1.mtx,30180,365863,340282366920938463463374607431768211455,1,80936,119836,340282366920938463463374607431768211455
s-vs-d_0.085_A0.mtx,s-vs-d_0.085_B0.mtx,29665,369108,340282366920938463463374607431768211455,1,100036,129049,340282366920938463463374607431768211455
s-vs-d_0.085_A0.mtx,s-vs-d_0.085_B1.mtx,29068,360483,340282366920938463463374607431768211455,1,74842,112906,340282366920938463463374607431768211455
s-vs-d_0.085_A1.mtx,s-vs-d_0.085_A0.mtx,29622,423776,340282366920938463463374607431768211455,1,78368,125478,340282366920938463463374607431768211455
s-vs-d_0.085_A1.mtx,s-vs-d_0.085_B0.mtx,29298,408050,340282366920938463463374607431768211455,1,76305,121293,340282366920938463463374607431768211455
s-vs-d_0.085_A1.mtx,s-vs-d_0.085_B1.mtx,30451,404962,340282366920938463463374607431768211455,1,97780,124763,340282366920938463463374607431768211455
s-vs-d_0.085_B0.mtx,s-vs-d_0.085_A0.mtx,30801,421091,340282366920938463463374607431768211455,1,104747,133754,340282366920938463463374607431768211455
s-vs-d_0.085_B0.mtx,s-vs-d_0.085_A1.mtx,31017,424335,340282366920938463463374607431768211455,1,157126,147656,340282366920938463463374607431768211455
s-vs-d_0.085_B0.mtx,s-vs-d_0.085_B1.mtx,29199,412020,340282366920938463463374607431768211455,1,91150,124953,340282366920938463463374607431768211455
s-vs-d_0.085_B1.mtx,s-vs-d_0.085_A0.mtx,28614,373097,340282366920938463463374607431768211455,1,79467,112226,340282366920938463463374607431768211455
s-vs-d_0.085_B1.mtx,s-vs-d_0.085_A1.mtx,30897,383475,340282366920938463463374607431768211455,1,74262,113967,340282366920938463463374607431768211455
s-vs-d_0.085_B1.mtx,s-vs-d_0.085_B0.mtx,30623,401649,340282366920938463463374607431768211455,1,72131,115983,340282366920938463463374607431768211455
s-vs-d_0.08_A0.mtx,s-vs-d_0.08_A1.mtx,28773,311442,340282366920938463463374607431768211455,1,83891,95673,340282366920938463463374607431768211455
s-vs-d_0.08_A0.mtx,s-vs-d_0.08_B0.mtx,30214,342121,340282366920938463463374607431768211455,1,79992,108958,340282366920938463463374607431768211455
s-vs-d_0.08_A0.mtx,s-vs-d_0.08_B1.mtx,31540,314964,340282366920938463463374607431768211455,1,96497,103817,340282366920938463463374607431768211455
s-vs-d_0.08_A1.mtx,s-vs-d_0.08_A0.mtx,30195,351733,340282366920938463463374607431768211455,1,71973,105421,340282366920938463463374607431768211455
s-vs-d_0.08_A1.mtx,s-vs-d_0.08_B0.mtx,30056,363865,340282366920938463463374607431768211455,1,69321,111694,340282366920938463463374607431768211455
s-vs-d_0.08_A1.mtx,s-vs-d_0.08_B1.mtx,29530,348682,340282366920938463463374607431768211455,1,89691,107098,340282366920938463463374607431768211455
s-vs-d_0.08_B0.mtx,s-vs-d_0.08_A0.mtx,30198,363576,340282366920938463463374607431768211455,1,75541,117405,340282366920938463463374607431768211455
s-vs-d_0.08_B0.mtx,s-vs-d_0.08_A1.mtx,28798,372847,340282366920938463463374607431768211455,1,97935,112220,340282366920938463463374607431768211455
s-vs-d_0.08_B0.mtx,s-vs-d_0.08_B1.mtx,30047,367507,340282366920938463463374607431768211455,1,78150,112350,340282366920938463463374607431768211455
s-vs-d_0.08_B1.mtx,s-vs-d_0.08_A0.mtx,29054,345293,340282366920938463463374607431768211455,1,77940,109104,340282366920938463463374607431768211455
s-vs-d_0.08_B1.mtx,s-vs-d_0.08_A1.mtx,29014,343159,340282366920938463463374607431768211455,1,91564,113090,340282366920938463463374607431768211455
s-vs-d_0.08_B1.mtx,s-vs-d_0.08_B0.mtx,29352,342788,340282366920938463463374607431768211455,1,74865,106968,340282366920938463463374607431768211455
s-vs-d_0.095_A0.mtx,s-vs-d_0.095_A1.mtx,28683,475696,340282366920938463463374607431768211455,1,70245,135044,340282366920938463463374607431768211455
s-vs-d_0.095_A0.mtx,s-vs-d_0.095_B0.mtx,28704,468116,340282366920938463463374607431768211455,1,85782,135358,340282366920938463463374607431768211455
s-vs-d_0.095_A0.mtx,s-vs-d_0.095_B1.mtx,31196,452645,340282366920938463463374607431768211455,1,73803,135323,340282366920938463463374607431768211455
s-vs-d_0.095_A1.mtx,s-vs-d_0.095_A0.mtx,29843,508446,340282366920938463463374607431768211455,1,71709,142039,340282366920938463463374607431768211455
s-vs-d_0.095_A1.mtx,s-vs-d_0.095_B0.mtx,29451,481786,340282366920938463463374607431768211455,1,72027,145935,340282366920938463463374607431768211455
s-vs-d_0.095_A1.mtx,s-vs-d_0.095_B1.mtx,28564,491649,340282366920938463463374607431768211455,1,73653,143038,340282366920938463463374607431768211455
s-vs-d_0.095_B0.mtx,s-vs-d_0.095_A0.mtx,32460,518977,340282366920938463463374607431768211455,1,79233,151004,340282366920938463463374607431768211455
s-vs-d_0.095_B0.mtx,s-vs-d_0.095_A1.mtx,29094,552156,340282366920938463463374607431768211455,1,77055,146884,340282366920938463463374607431768211455
s-vs-d_0.095_B0.mtx,s-vs-d_0.095_B1.mtx,30446,519466,340282366920938463463374607431768211455,1,76029,224085,340282366920938463463374607431768211455
s-vs-d_0.095_B1.mtx,s-vs-d_0.095_A0.mtx,29286,559810,340282366920938463463374607431768211455,1,84289,157306,340282366920938463463374607431768211455
s-vs-d_0.095_B1.mtx,s-vs-d_0.095_A1.mtx,30357,551698,340282366920938463463374607431768211455,1,93148,161129,340282366920938463463374607431768211455
s-vs-d_0.095_B1.mtx,s-vs-d_0.095_B0.mtx,28764,553698,340282366920938463463374607431768211455,1,97467,158910,340282366920938463463374607431768211455
s-vs-d_0.09_A0.mtx,s-vs-d_0.09_A1.mtx,31314,446596,340282366920938463463374607431768211455,1,116120,143305,340282366920938463463374607431768211455
s-vs-d_0.09_A0.mtx,s-vs-d_0.09_B0.mtx,29197,429921,340282366920938463463374607431768211455,1,109506,174876,340282366920938463463374607431768211455
s-vs-d_0.09_A0.mtx,s-vs-d_0.09_B1.mtx,32325,453093,340282366920938463463374607431768211455,1,72082,126760,340282366920938463463374607431768211455
s-vs-d_0.09_A1.mtx,s-vs-d_0.09_A0.mtx,28661,456339,340282366920938463463374607431768211455,1,78538,129612,340282366920938463463374607431768211455
s-vs-d_0.09_A1.mtx,s-vs-d_0.09_B0.mtx,29896,417886,340282366920938463463374607431768211455,1,74408,128444,340282366920938463463374607431768211455
s-vs-d_0.09_A1.mtx,s-vs-d_0.09_B1.mtx,29541,432921,340282366920938463463374607431768211455,1,89352,129611,340282366920938463463374607431768211455
s-vs-d_0.09_B0.mtx,s-vs-d_0.09_A0.mtx,31060,421353,340282366920938463463374607431768211455,1,75672,128357,340282366920938463463374607431768211455
s-vs-d_0.09_B0.mtx,s-vs-d_0.09_A1.mtx,29680,438223,340282366920938463463374607431768211455,1,93056,122587,340282366920938463463374607431768211455
s-vs-d_0.09_B0.mtx,s-vs-d_0.09_B1.mtx,30375,412461,340282366920938463463374607431768211455,1,105176,119607,340282366920938463463374607431768211455
s-vs-d_0.09_B1.mtx,s-vs-d_0.09_A0.mtx,30959,443860,340282366920938463463374607431768211455,1,79444,123133,340282366920938463463374607431768211455
s-vs-d_0.09_B1.mtx,s-vs-d_0.09_A1.mtx,31020,432335,340282366920938463463374607431768211455,1,97614,130359,340282366920938463463374607431768211455
s-vs-d_0.09_B1.mtx,s-vs-d_0.09_B0.mtx,30766,416353,340282366920938463463374607431768211455,1,97408,134087,340282366920938463463374607431768211455
s-vs-d_0.1_A0.mtx,s-vs-d_0.1_A1.mtx,27642,573964,340282366920938463463374607431768211455,1,123960,167438,340282366920938463463374607431768211455
s-vs-d_0.1_A0.mtx,s-vs-d_0.1_B0.mtx,28599,566620,340282366920938463463374607431768211455,1,139271,163909,340282366920938463463374607431768211455
s-vs-d_0.1_A0.mtx,s-vs-d_0.1_B1.mtx,28746,575129,340282366920938463463374607431768211455,1,82561,251603,340282366920938463463374607431768211455
s-vs-d_0.1_A1.mtx,s-vs-d_0.1_A0.mtx,28112,475151,340282366920938463463374607431768211455,1,74315,134577,340282366920938463463374607431768211455
s-vs-d_0.1_A1.mtx,s-vs-d_0.1_B0.mtx,27659,445818,340282366920938463463374607431768211455,1,69266,136511,340282366920938463463374607431768211455
s-vs-d_0.1_A1.mtx,s-vs-d_0.1_B1.mtx,28577,455656,340282366920938463463374607431768211455,1,74008,134697,340282366920938463463374607431768211455
s-vs-d_0.1_B0.mtx,s-vs-d_0.1_A0.mtx,29373,555893,340282366920938463463374607431768211455,1,79586,151290,340282366920938463463374607431768211455
s-vs-d_0.1_B0.mtx,s-vs-d_0.1_A1.mtx,28172,535920,340282366920938463463374607431768211455,1,85464,237297,340282366920938463463374607431768211455
s-vs-d_0.1_B0.mtx,s-vs-d_0.1_B1.mtx,28092,536177,340282366920938463463374607431768211455,1,73749,226844,340282366920938463463374607431768211455
s-vs-d_0.1_B1.mtx,s-vs-d_0.1_A0.mtx,28515,550361,340282366920938463463374607431768211455,1,76515,152270,340282366920938463463374607431768211455
s-vs-d_0.1_B1.mtx,s-vs-d_0.1_A1.mtx,28964,540966,340282366920938463463374607431768211455,1,83344,155883,340282366920938463463374607431768211455
s-vs-d_0.1_B1.mtx,s-vs-d_0.1_B0.mtx,27660,548256,340282366920938463463374607431768211455,1,71051,157833,340282366920938463463374607431768211455
