Matrix1,Matrix2,cuBlas (µs),cuSparse (µs),gpuDense (µs),gpuSparse (µs),Blas (µs),cpuSparseParallel (µs),cpuDenseParallel (µs)
s-vs-d_0.025_A1.mtx,s-vs-d_0.025_A0.mtx,34113,65304,340282366920938463463374607431768211455,1,76275,15646,340282366920938463463374607431768211455
s-vs-d_0.025_A1.mtx,s-vs-d_0.025_B0.mtx,33504,53478,340282366920938463463374607431768211455,1,66573,16021,340282366920938463463374607431768211455
s-vs-d_0.025_A1.mtx,s-vs-d_0.025_B1.mtx,33689,50043,340282366920938463463374607431768211455,1,65191,14814,340282366920938463463374607431768211455
s-vs-d_0.025_B0.mtx,s-vs-d_0.025_A0.mtx,34069,51189,340282366920938463463374607431768211455,1,67471,14561,340282366920938463463374607431768211455
s-vs-d_0.025_B0.mtx,s-vs-d_0.025_A1.mtx,32782,53476,340282366920938463463374607431768211455,1,77945,14850,340282366920938463463374607431768211455
s-vs-d_0.025_B0.mtx,s-vs-d_0.025_B1.mtx,33633,47138,340282366920938463463374607431768211455,1,68175,15345,340282366920938463463374607431768211455
s-vs-d_0.025_B1.mtx,s-vs-d_0.025_A0.mtx,34165,50874,340282366920938463463374607431768211455,1,65420,13900,340282366920938463463374607431768211455
s-vs-d_0.025_B1.mtx,s-vs-d_0.025_A1.mtx,31630,51973,340282366920938463463374607431768211455,1,69118,14974,340282366920938463463374607431768211455
s-vs-d_0.025_B1.mtx,s-vs-d_0.025_B0.mtx,32179,50164,340282366920938463463374607431768211455,1,67030,16443,340282366920938463463374607431768211455
s-vs-d_0.02_A0.mtx,s-vs-d_0.02_A1.mtx,32133,47159,340282366920938463463374607431768211455,1,63296,12349,340282366920938463463374607431768211455
s-vs-d_0.02_A0.mtx,s-vs-d_0.02_B0.mtx,31711,40128,340282366920938463463374607431768211455,1,74801,12688,340282366920938463463374607431768211455
s-vs-d_0.02_A0.mtx,s-vs-d_0.02_B1.mtx,31100,43072,340282366920938463463374607431768211455,1,88490,14742,340282366920938463463374607431768211455
s-vs-d_0.02_A1.mtx,s-vs-d_0.02_A0.mtx,32236,29818,340282366920938463463374607431768211455,1,64479,9094,340282366920938463463374607431768211455
s-vs-d_0.02_A1.mtx,s-vs-d_0.02_B0.mtx,31418,26827,340282366920938463463374607431768211455,1,64205,9094,340282366920938463463374607431768211455
s-vs-d_0.02_A1.mtx,s-vs-d_0.02_B1.mtx,31376,29677,340282366920938463463374607431768211455,1,74841,9660,340282366920938463463374607431768211455
