Matrix1,Matrix2,cuBlas (µs),cuSparse (µs),gpuDense (µs),gpuSparse (µs),Blas (µs),cpuSparseParallel (µs),cpuDenseParallel (µs)
dense_460_B.mtx,dense_460_A.mtx,2364,16146,0,0,1365,0,0
dense_470_A.mtx,dense_470_B.mtx,2252,16781,0,0,1376,0,0
dense_470_B.mtx,dense_470_A.mtx,2239,16729,0,0,1393,0,0
dense_480_A.mtx,dense_480_B.mtx,2252,17502,0,0,1543,0,0
dense_480_B.mtx,dense_480_A.mtx,2249,17658,0,0,1620,0,0
dense_490_A.mtx,dense_490_B.mtx,2282,18497,0,0,1719,0,0
dense_490_B.mtx,dense_490_A.mtx,2335,18277,0,0,1629,0,0
dense_500_A.mtx,dense_500_B.mtx,2071,18388,0,0,1726,0,0
dense_500_B.mtx,dense_500_A.mtx,2189,22021,0,0,1843,0,0
dense_50_A.mtx,dense_50_B.mtx,1199,1501,0,0,8,0,0
dense_50_B.mtx,dense_50_A.mtx,1220,1318,0,0,8,0,0
dense_60_A.mtx,dense_60_B.mtx,1247,1351,0,0,12,0,0
dense_60_B.mtx,dense_60_A.mtx,1198,1314,0,0,11,0,0
dense_70_A.mtx,dense_70_B.mtx,1239,1329,0,0,29,0,0
dense_70_B.mtx,dense_70_A.mtx,1670,1728,0,0,28,0,0
dense_80_A.mtx,dense_80_B.mtx,2278,1780,0,0,46,0,0
dense_80_B.mtx,dense_80_A.mtx,2659,1459,0,0,39,0,0
dense_90_A.mtx,dense_90_B.mtx,2092,1614,0,0,48,0,0
dense_90_B.mtx,dense_90_A.mtx,2729,1739,0,0,46,0,0
